1, 8, 4096   // here
2, 2, 16384
3, 3, 16384
4, 4, 16384
5, 5, 16384
6, 6, 16384
7, 7, 16384
0, 0, 16384
0, 9, 0
10, 23, 16384 // here
11, 11, 16384
12, 12, 16384
13, 13, 16384
14, 14, 16384
15, 15, 16384
0, 16, 0      // important
17, 0, 32768
18, 18, 16384
19, 19, 16384
20, 20, 16384
21, 21, 16384
22, 22, 16384
0, 0, 16384
24, 36, 16384 // here
25, 25, 16384
26, 26, 16384
27, 27, 16384
28, 28, 16384
0, 29, 0      // important
30, 0, 32768
31, 31, 16384
32, 32, 16384
33, 33, 16384
34, 34, 16384
35, 35, 16384
15, 15, 16384
37, 0, 32768
38, 38, 16384
39, 39, 16384
40, 40, 16384
0, 41, 0      // important
42, 0, 32768
43, 43, 16384
44, 44, 16384
45, 45, 16384
46, 46, 16384
47, 47, 16384
28, 28, 16384
